comment_score,percent_positive,percent_negative
3552,0.0,1.0
3545,0.0,1.0
3534,0.0,1.0
3532,0.0,1.0
3529,0.0,1.0
3527,0.0,1.0
3523,0.0,0.0
3515,1.0,1.0
3512,0.0,1.0
3509,0.0,1.0
3500,1.0,1.0
3499,0.0,1.0
3489,0.0,1.0
3488,0.0,1.0
3485,0.0,1.0
3481,0.0,1.0
3474,0.0,0.0
3471,0.0,1.0
3468,1.0,1.0
3466,0.0,1.0
3464,0.0,1.0
3450,0.0,1.0
3446,1.0,1.0
3440,0.0,1.0
3437,0.0,1.0
3431,0.5,1.0
3420,0.0,1.0
3410,0.0,1.0
3403,1.0,0.0
3392,1.0,1.0
3374,0.0,1.0
3367,0.0,1.0
3363,0.0,1.0
3356,1.0,1.0
3332,0.0,1.0
3323,0.0,1.0
3314,0.0,0.0
3313,0.0,1.0
3309,1.0,1.0
3290,1.0,1.0
3280,0.0,1.0
3275,1.0,1.0
3261,0.0,1.0
3254,0.0,1.0
3253,0.0,1.0
3237,0.0,1.0
3234,1.0,0.0
3222,0.0,1.0
3212,0.0,1.0
3211,1.0,0.0
3204,1.0,1.0
3203,0.0,1.0
3191,0.0,1.0
3188,1.0,1.0
3183,0.0,1.0
3174,0.0,1.0
3160,0.0,1.0
3154,0.0,1.0
3152,1.0,1.0
3142,0.0,1.0
3141,0.0,1.0
3134,0.0,1.0
3128,1.0,1.0
3126,0.5,1.0
3124,0.0,1.0
3123,1.0,1.0
3119,0.0,0.0
3118,0.0,1.0
3114,0.0,1.0
3107,1.0,0.0
3099,0.0,1.0
3098,0.0,1.0
3097,0.0,1.0
3095,0.0,1.0
3094,0.0,1.0
3093,0.0,1.0
3092,1.0,1.0
3091,0.0,1.0
3079,0.0,1.0
3077,0.0,1.0
3066,1.0,1.0
3060,0.0,1.0
3040,1.0,1.0
3027,0.0,1.0
3022,0.0,1.0
3019,1.0,1.0
3017,0.0,1.0
3014,0.0,1.0
3009,1.0,1.0
3006,0.0,1.0
3002,0.0,1.0
2995,1.0,1.0
2992,0.0,1.0
2991,0.0,1.0
2990,0.0,1.0
2982,0.0,1.0
2980,0.0,1.0
2971,0.0,1.0
2970,0.0,1.0
2969,0.0,1.0
2963,1.0,1.0
2952,1.0,1.0
2947,0.0,1.0
2946,0.0,1.0
2944,0.0,1.0
2943,0.0,1.0
2942,0.0,1.0
2940,0.0,1.0
2939,0.0,1.0
2938,0.0,0.0
